timestamp,open,high,low,close,volume
2026-02-16 15:00:00,68429.2,68559.7,67296.0,67547.7,31.69580205
2026-02-16 16:00:00,67554.1,67944.7,67520.9,67872.7,6.31375909
2026-02-16 17:00:00,67896.9,68057.4,67601.0,67973.0,12.04829056
2026-02-16 18:00:00,67951.0,68248.6,67848.0,67852.3,7.01062339
2026-02-16 19:00:00,67875.1,68111.4,67844.1,67932.7,7.22641772
2026-02-16 20:00:00,67917.5,68524.1,67848.2,68510.1,11.09850633
2026-02-16 21:00:00,68534.5,68916.7,68456.5,68856.6,2.18737231
2026-02-16 22:00:00,68869.8,68892.1,68517.9,68612.5,1.13085674
2026-02-16 23:00:00,68584.8,68945.1,68577.5,68878.0,2.25513874
2026-02-17 00:00:00,68889.0,69038.1,68711.6,68870.7,1.28688964
2026-02-17 01:00:00,68917.3,68985.3,68578.1,68632.1,0.39884257
2026-02-17 02:00:00,68609.0,69233.3,68393.7,68900.6,1.15041402
2026-02-17 03:00:00,68803.9,68828.1,68478.3,68478.3,1.0475465
2026-02-17 04:00:00,68474.6,68677.8,68298.7,68434.9,3.17193067
2026-02-17 05:00:00,68445.9,68509.3,67916.4,68215.1,1.62600443
2026-02-17 06:00:00,68245.9,68459.6,68245.9,68417.8,0.19259223
2026-02-17 07:00:00,68410.8,68472.1,68188.1,68382.8,0.83419766
2026-02-17 08:00:00,68380.9,68439.8,68127.2,68169.9,4.83490732
2026-02-17 09:00:00,68168.8,68312.5,67994.7,68110.2,2.46668582
2026-02-17 10:00:00,68112.5,68153.9,67731.0,67821.0,13.63042738
2026-02-17 11:00:00,67844.2,67900.0,67711.6,67848.4,5.15936627
2026-02-17 12:00:00,67849.1,68279.8,67849.1,67888.4,5.03689275
2026-02-17 13:00:00,67936.2,68355.6,67738.0,68151.7,2.54770957
2026-02-17 14:00:00,68128.0,68283.2,66762.8,66883.4,11.14423421
2026-02-17 15:00:00,66887.1,67387.9,66654.4,67355.2,12.95446667
2026-02-17 16:00:00,67387.9,68133.8,67360.3,67532.0,32.47210246
2026-02-17 17:00:00,67531.9,67719.1,66891.1,67248.9,22.61890251
2026-02-17 18:00:00,67247.8,68200.0,67133.1,68126.5,30.32802866
2026-02-17 19:00:00,68066.3,68200.0,67763.3,67826.9,2.17275142
2026-02-17 20:00:00,67793.3,67913.4,67503.2,67745.0,17.64746048
2026-02-17 21:00:00,67726.0,67875.0,67549.0,67680.6,6.743378
2026-02-17 22:00:00,67681.6,67764.0,67530.4,67540.7,9.79492826
2026-02-17 23:00:00,67522.9,67600.5,67390.6,67492.8,3.38243625
2026-02-18 00:00:00,67518.9,67615.5,67293.2,67293.2,4.17112767
2026-02-18 01:00:00,67350.8,67370.2,66907.0,67151.7,3.57389076
2026-02-18 02:00:00,67168.9,67387.9,67168.9,67333.8,8.57093512
2026-02-18 03:00:00,67336.4,67679.6,67332.9,67671.1,0.93290938
2026-02-18 04:00:00,67634.4,67877.9,67521.7,67797.8,1.99817038
2026-02-18 05:00:00,67814.0,67921.1,67599.8,67635.5,2.56303339
2026-02-18 06:00:00,67643.3,67935.2,67619.8,67861.0,1.87453591
2026-02-18 07:00:00,67849.5,68195.8,67716.3,68109.1,1.46978948
2026-02-18 08:00:00,68124.0,68446.3,68084.3,68123.8,11.97923143
2026-02-18 09:00:00,68131.1,68278.5,68033.3,68176.0,3.60568502
2026-02-18 10:00:00,68158.8,68158.8,67758.6,67788.8,0.3793436
2026-02-18 11:00:00,67782.4,67802.7,67094.2,67399.5,3.99903946
2026-02-18 12:00:00,67381.7,67671.0,67349.2,67460.3,1.56568357
2026-02-18 13:00:00,67537.9,67583.3,67068.7,67248.3,1.72478972
2026-02-18 14:00:00,67229.8,67349.0,66716.6,67172.4,14.37480225
2026-02-18 15:00:00,67223.9,68332.9,67216.5,67689.9,22.39764501
2026-02-18 16:00:00,67712.4,67712.4,67017.7,67147.2,10.46104852
2026-02-18 17:00:00,67140.6,67478.0,67061.3,67162.4,13.25889051
2026-02-18 18:00:00,67176.3,67212.1,66209.9,66343.2,8.93561784
2026-02-18 19:00:00,66360.7,66560.0,65870.8,66191.5,7.36404443
2026-02-18 20:00:00,66188.9,66533.7,66158.6,66255.2,8.41580021
2026-02-18 21:00:00,66256.8,66478.7,66101.4,66324.9,23.40730611
2026-02-18 22:00:00,66340.7,66457.0,66254.7,66416.7,3.9653273
2026-02-18 23:00:00,66435.5,66483.8,66275.4,66450.0,9.74114319
2026-02-19 00:00:00,66464.8,66590.5,66355.9,66434.3,1.9635131
2026-02-19 01:00:00,66568.8,66851.3,66550.4,66851.3,1.82292851
2026-02-19 02:00:00,66874.0,66950.1,66655.7,66849.9,1.67044882
2026-02-19 03:00:00,66819.8,66983.1,66730.3,66974.8,1.63050044
2026-02-19 04:00:00,67000.2,67024.8,66772.7,66812.2,2.4328416
2026-02-19 05:00:00,66806.4,66868.6,66683.1,66852.7,0.41024031
2026-02-19 06:00:00,66883.4,67261.4,66883.3,67120.1,1.91123755
2026-02-19 07:00:00,67165.9,67319.6,67075.9,67211.9,4.73076418
2026-02-19 08:00:00,67195.4,67195.4,66826.8,66946.2,3.67460862
2026-02-19 09:00:00,66956.8,67174.6,66758.5,66849.7,1.81781199
2026-02-19 10:00:00,66835.5,66954.5,66763.5,66843.8,1.91067487
2026-02-19 11:00:00,66838.1,66917.2,66479.3,66506.0,3.51789224
2026-02-19 12:00:00,66514.1,66672.3,66350.0,66507.7,4.64198797
2026-02-19 13:00:00,66530.3,66564.6,65791.3,65911.7,6.1594938
2026-02-19 14:00:00,65922.8,66637.6,65636.9,66382.7,5.78182683
2026-02-19 15:00:00,66429.8,66726.9,65975.5,66419.1,7.81629277
2026-02-19 16:00:00,66385.3,66518.5,65917.8,66320.4,5.43059338
2026-02-19 17:00:00,66303.8,67037.0,66178.1,66317.5,8.00353795
2026-02-19 18:00:00,66349.2,67053.7,66294.0,66910.4,10.96500821
2026-02-19 19:00:00,66950.9,67189.6,66714.6,67034.6,6.9498191
2026-02-19 20:00:00,67019.2,67154.9,66886.9,67112.9,5.28519884
2026-02-19 21:00:00,67058.0,67174.4,66895.2,66926.9,3.91329954
2026-02-19 22:00:00,66926.6,66982.4,66651.6,66959.1,2.99841339
2026-02-19 23:00:00,66934.0,67000.0,66833.2,66979.6,0.46929009
